year,E95,E95 change,E92,E92 change,DO,DO change,KO,KO change
1/1/2019,17800,-540,17600,-540,16270,-510,14950,-1100
1/16/2019,17600,0,16270,0,14900,0,14180,0
1/31/2019,17600,0,16270,0,14900,0,14180,0
2/15/2019,17600,0,16270,0,14900,0,14180,0
3/2/2019,18540,940,17210,940,15860,960,14880,700
3/18/2019,18540,0,17210,0,15860,0,14880,0
4/2/2019,20030,1490,18580,1370,17080,1220,15970,1090
4/17/2019,21230,1200,19700,1120,17380,300,16260,290
5/2/2019,22190,960,20680,980,17690,310,16620,360
5/17/2019,21590,-600,20480,-200,17610,-80,16420,-200
6/1/2019,21210,-380,20210,-270,17390,-220,16220,-200
6/17/2019,20130,-1080,19230,-980,16650,-740,15610,-610
7/2/2019,20510,380,19650,420,16940,290,15930,320
7/17/2019,21230,720,20270,620,16990,50,15950,20
8/1/2019,20910,-320,19900,-370,17020,30,15960,10
8/16/2019,20400,-510,19350,-550,16500,-520,15390,-570
8/31/2019,20230,-170,19220,-130,16330,-170,15320,-70
9/16/2019,20140,-90,19110,-110,16200,-130,15360,40
10/1/2019,21060,920,19780,670,16630,430,15780,420
10/16/2019,20790,-270,19470,-310,16220,-410,15250,-530
10/31/2019,20440,-350,19250,-220,16050,-170,15130,-120
11/15/2019,20790,350,19500,250,15960,-90,14960,-170
11/30/2019,21070,280,19810,310,15980,20,14960,0
12/16/2019,20880,-190,19720,-90,16060,80,15010,50
12/31/2019,20990,110,19880,160,16590,530,15580,570
1/15/2020,20910,-80,19840,-40,16540,-50,15530,-50
1/30/2020,20120,-790,19260,-580,16130,-410,15060,-470
2/14/2020,19380,-740,18500,-760,15170,-960,13950,-1110
2/29/2020,19120,-260,18340,-160,14780,-390,13670,-280
3/15/2020,16810,-2310,16050,-2290,13030,-1750,11840,-1830
3/29/2020,12560,-4250,11950,-4100,11250,-1780,9140,-2700
4/13/2020,11930,-630,11340,-610,10820,-430,8630,-510
4/28/2020,11630,-300,10940,-400,9940,-880,7960,-670
5/13/2020,12230,600,11520,580,9850,-90,7880,-80
5/28/2020,13120,890,12400,880,10740,890,8750,870
6/12/2020,14080,960,13390,990,11510,770,9610,860
6/27/2020,14970,890,14250,860,12110,600,10030,420
7/13/2020,14970,0,14250,0,12110,0,10030,0
7/28/2020,14970,0,14400,150,12390,280,10270,240
8/12/2020,14920,-50,14400,0,12200,-190,10200,-70
8/27/2020,15110,190,14400,0,11960,-240,10120,-80
9/11/2020,14980,-130,14260,-140,11510,-450,9590,-530
9/26/2020,14980,0,14210,-50,11120,-390,9440,-150
10/12/2020,15120,140,14260,50,11120,0,9590,150
10/27/2020,14940,-180,14100,-160,11210,90,9710,120
11/11/2020,14700,-240,13880,-220,10830,-380,9560,-150
11/26/2020,15350,650,14490,610,11430,600,10130,570
12/11/2020,16000,650,15120,630,11890,460,10770,640
12/26/2020,16470,470,15510,390,12370,480,11180,410
1/11/2021,16930,460,15940,430,12640,270,11550,370
1/26/2021,17270,340,16300,360,13040,400,11900,350
2/10/2021,17270,0,16300,0,13040,0,11900,0
2/25/2021,18080,810,17030,730,13840,800,12610,710
3/12/2021,18880,800,17720,690,14400,560,13170,560
3/27/2021,19040,160,17850,130,14240,-160,13000,-170
4/12/2021,18970,-70,17800,-50,14140,-100,12820,-180
4/27/2021,19160,190,17980,180,14320,180,13250,430
5/12/2021,19530,370,18420,440,14770,450,13820,570
5/27/2021,19530,0,18420,0,14770,0,13820,0
6/11/2021,20160,630,19040,620,15440,670,14410,590
6/26/2021,20910,750,19760,720,16110,670,15050,640
7/12/2021,21780,870,20610,850,16530,420,15500,450
7/27/2021,21680,-100,20490,-120,16370,-160,15390,-110
8/11/2021,21680,0,20490,0,16170,-200,15170,-220
8/26/2021,21130,-550,19890,-600,15660,-510,14760,-410
9/10/2021,21390,260,20140,250,16020,360,15080,320
9/25/2021,21940,550,20710,570,16580,560,15640,560
10/11/2021,22870,930,21680,970,17540,960,16620,980
10/26/2021,24330,1460,23110,1430,18710,1170,17630,1010
11/10/2021,24990,660,23660,550,18710,0,17630,0
11/25/2021,23900,-1090,22910,-750,18380,-330,17190,-440
12/10/2021,22800,-1100,22080,-830,17330,-1050,16320,-870
12/25/2021,23290,490,22550,470,17570,240,16510,190
1/11/2022,23870,580,23150,600,18230,660,17130,620
1/21/2022,24360,490,23590,440,18900,670,17790,660
2/11/2022,25320,960,24570,980,19860,960,18750,960
2/21/2022,26280,960,25530,960,20800,940,19500,750
3/1/2022,26830,550,26070,540,21310,510,19970,470
3/11/2022,29820,2990,28980,2910,25260,3950,23910,3940
3/21/2022,29190,-630,28330,-650,23630,-1630,22240,-1670
4/1/2022,28150,-1040,27300,-1030,25080,1450,23760,1520
4/12/2022,27310,-840,26470,-830,24380,-700,23020,-740
4/21/2022,27990,680,27130,660,25350,970,23820,800
5/4/2022,28430,440,27460,330,25530,180,23820,0
5/11/2022,29980,1550,28950,1490,26650,1120,25160,1340
5/23/2022,30650,670,29630,680,25550,-1100,24400,-760
6/1/2022,31570,920,30230,600,26390,840,25340,940
6/13/2022,32370,800,31110,880,29020,2630,27830,2490
6/21/2022,32870,500,31300,190,30010,990,28780,950
7/1/2022,32760,-110,30890,-410,29610,-400,28350,-430
7/11/2022,29670,-3090,27780,-3110,26590,-3020,26340,-2010
7/21/2022,26070,-3600,25070,-2710,24850,-1740,25240,-1100
8/1/2022,25600,-470,24620,-450,23900,-950,24530,-710
8/11/2022,24660,-940,23720,-900,22900,-1000,23320,-1210
8/22/2022,24660,0,23720,0,23750,850,24050,730
9/5/2022,24230,-430,23350,-370,25180,1430,25440,1390
9/12/2022,23210,-1020,22230,-1120,24180,-1000,24410,-1030
9/21/2022,22580,-630,21780,-450,22530,-1650,22440,-1970
10/3/2022,21440,-1140,20730,-1050,22200,-330,21680,-760
10/11/2022,22000,560,21290,560,24180,1980,22820,1140
10/21/2022,22340,340,21490,200,24780,600,23660,840
11/1/2022,22750,410,21870,380,25070,290,23780,120
11/11/2022,23860,1110,22710,840,24980,-90,24740,960
11/21/2022,23780,-80,22670,-40,24800,-180,24640,-100
12/1/2022,22700,-1080,21670,-1000,23210,-1590,23560,-1080
12/12/2022,21200,-1500,20340,-1330,21670,-1540,21900,-1660
12/21/2022,20700,-500,19970,-370,21600,-70,21830,-70
